"","terms","count","probability"
"1","new york",36,0.00340586565752129
"2","last year",34,0.0032166508987701
"3","cant wait",28,0.00264900662251656
"4","high school",25,0.00236518448438978
"5","first time",24,0.00227057710501419
"6","right now",24,0.00227057710501419
"7","dont know",21,0.00198675496688742
"8","feel like",21,0.00198675496688742
"9","last week",20,0.00189214758751183
"10","years ago",19,0.00179754020813623
"11","new jersey",17,0.00160832544938505
"12","st louis",17,0.00160832544938505
"13","will get",17,0.00160832544938505
"14","even though",16,0.00151371807000946
"15","every day",16,0.00151371807000946
"16","felt like",15,0.00141911069063387
"17","im going",15,0.00141911069063387
"18","im sure",15,0.00141911069063387
"19","last night",14,0.00132450331125828
"20","one thing",14,0.00132450331125828
"21","united states",14,0.00132450331125828
"22","can get",13,0.00122989593188269
"23","dont want",13,0.00122989593188269
"24","health care",13,0.00122989593188269
"25","just got",13,0.00122989593188269
"26","little bit",13,0.00122989593188269
"27","make sure",12,0.0011352885525071
"28","many people",12,0.0011352885525071
"29","one day",12,0.0011352885525071
"30","san francisco",12,0.0011352885525071
"31","two years",12,0.0011352885525071
"32","can see",11,0.0010406811731315
"33","dont think",11,0.0010406811731315
"34","looks like",11,0.0010406811731315
"35","said “",11,0.0010406811731315
"36","will continue",11,0.0010406811731315
"37","go back",10,0.000946073793755913
"38","good luck",10,0.000946073793755913
"39","good thing",10,0.000946073793755913
"40","many years",10,0.000946073793755913
"41","people will",10,0.000946073793755913
"42","police said",10,0.000946073793755913
"43","super bowl",10,0.000946073793755913
"44","will able",10,0.000946073793755913
"45","will make",10,0.000946073793755913
"46","year old",10,0.000946073793755913
"47","can make",9,0.000851466414380322
"48","even know",9,0.000851466414380322
"49","get back",9,0.000851466414380322
"50","get ready",9,0.000851466414380322
"51","get rid",9,0.000851466414380322
"52","happy birthday",9,0.000851466414380322
"53","let know",9,0.000851466414380322
"54","los angeles",9,0.000851466414380322
"55","much time",9,0.000851466414380322
"56","next week",9,0.000851466414380322
"57","next year",9,0.000851466414380322
"58","run run",9,0.000851466414380322
"59","three years",9,0.000851466414380322
"60","wait see",9,0.000851466414380322
"61","blog hop",8,0.00075685903500473
"62","can go",8,0.00075685903500473
"63","can tell",8,0.00075685903500473
"64","didnt know",8,0.00075685903500473
"65","dont forget",8,0.00075685903500473
"66","every time",8,0.00075685903500473
"67","hunger games",8,0.00075685903500473
"68","im thinking",8,0.00075685903500473
"69","last month",8,0.00075685903500473
"70","last three",8,0.00075685903500473
"71","last years",8,0.00075685903500473
"72","least one",8,0.00075685903500473
"73","one best",8,0.00075685903500473
"74","sounds like",8,0.00075685903500473
"75","st charles",8,0.00075685903500473
"76","trying figure",8,0.00075685903500473
"77","western district",8,0.00075685903500473
"78","’m going",7,0.000662251655629139
"79","’s going",7,0.000662251655629139
"80","also said",7,0.000662251655629139
"81","can change",7,0.000662251655629139
"82","can take",7,0.000662251655629139
"83","didnt even",7,0.000662251655629139
"84","didnt want",7,0.000662251655629139
"85","don’t like",7,0.000662251655629139
"86","eastern district",7,0.000662251655629139
"87","feels like",7,0.000662251655629139
"88","five years",7,0.000662251655629139
"89","ice cream",7,0.000662251655629139
"90","just one",7,0.000662251655629139
"91","just want",7,0.000662251655629139
"92","keep mind",7,0.000662251655629139
"93","last two",7,0.000662251655629139
"94","like one",7,0.000662251655629139
"95","long time",7,0.000662251655629139
"96","look forward",7,0.000662251655629139
"97","looking forward",7,0.000662251655629139
"98","million million",7,0.000662251655629139
"99","mothers day",7,0.000662251655629139
"100","new year",7,0.000662251655629139
"101","north carolina",7,0.000662251655629139
"102","one time",7,0.000662251655629139
"103","president obama",7,0.000662251655629139
"104","regular season",7,0.000662251655629139
"105","saturday night",7,0.000662251655629139
"106","think im",7,0.000662251655629139
"107","think will",7,0.000662251655629139
"108","trying get",7,0.000662251655629139
"109","want go",7,0.000662251655629139
"110","will also",7,0.000662251655629139
"111","will find",7,0.000662251655629139
"112","will never",7,0.000662251655629139
"113","will still",7,0.000662251655629139
"114","’s good",6,0.000567644276253548
"115","’ve got",6,0.000567644276253548
"116","“ ”",6,0.000567644276253548
"117","” said",6,0.000567644276253548
"118","anyone else",6,0.000567644276253548
"119","around corner",6,0.000567644276253548
"120","around world",6,0.000567644276253548
"121","big deal",6,0.000567644276253548
"122","blog post",6,0.000567644276253548
"123","can imagine",6,0.000567644276253548
"124","can still",6,0.000567644276253548
"125","come back",6,0.000567644276253548
"126","day just",6,0.000567644276253548
"127","don’t know",6,0.000567644276253548
"128","dont even",6,0.000567644276253548
"129","earlier year",6,0.000567644276253548
"130","everyone else",6,0.000567644276253548
"131","first half",6,0.000567644276253548
"132","get better",6,0.000567644276253548
"133","going get",6,0.000567644276253548
"134","good news",6,0.000567644276253548
"135","great weekend",6,0.000567644276253548
"136","gypsy queen",6,0.000567644276253548
"137","happy mothers",6,0.000567644276253548
"138","im looking",6,0.000567644276253548
"139","ive got",6,0.000567644276253548
"140","just like",6,0.000567644276253548
"141","just need",6,0.000567644276253548
"142","know ’s",6,0.000567644276253548
"143","like ’s",6,0.000567644276253548
"144","much money",6,0.000567644276253548
"145","new orleans",6,0.000567644276253548
"146","next month",6,0.000567644276253548
"147","one two",6,0.000567644276253548
"148","people can",6,0.000567644276253548
"149","pm april",6,0.000567644276253548
"150","several times",6,0.000567644276253548
"151","several years",6,0.000567644276253548
"152","someone else",6,0.000567644276253548
"153","square feet",6,0.000567644276253548
"154","take care",6,0.000567644276253548
"155","th th",6,0.000567644276253548
"156","thank god",6,0.000567644276253548
"157","think ’s",6,0.000567644276253548
"158","two games",6,0.000567644276253548
"159","will always",6,0.000567644276253548
"160","will go",6,0.000567644276253548
"161","will take",6,0.000567644276253548
"162","years old",6,0.000567644276253548
"163","young man",6,0.000567644276253548
"164","youre going",6,0.000567644276253548
"165","absolutely love",5,0.000473036896877956
"166","across country",5,0.000473036896877956
"167","also known",5,0.000473036896877956
"168","anything else",5,0.000473036896877956
"169","best friend",5,0.000473036896877956
"170","best way",5,0.000473036896877956
"171","big east",5,0.000473036896877956
"172","board members",5,0.000473036896877956
"173","can now",5,0.000473036896877956
"174","change everything",5,0.000473036896877956
"175","civil rights",5,0.000473036896877956
"176","coming soon",5,0.000473036896877956
"177","didnt get",5,0.000473036896877956
"178","didnt take",5,0.000473036896877956
"179","district new",5,0.000473036896877956
"180","don’t think",5,0.000473036896877956
"181","dont see",5,0.000473036896877956
"182","every single",5,0.000473036896877956
"183","every week",5,0.000473036896877956
"184","family friends",5,0.000473036896877956
"185","follow back",5,0.000473036896877956
"186","friday night",5,0.000473036896877956
"187","get things",5,0.000473036896877956
"188","give us",5,0.000473036896877956
"189","go ahead",5,0.000473036896877956
"190","go right",5,0.000473036896877956
"191","god v",5,0.000473036896877956
"192","great deal",5,0.000473036896877956
"193","hard work",5,0.000473036896877956
"194","id like",5,0.000473036896877956
"195","im just",5,0.000473036896877956
"196","ive seen",5,0.000473036896877956
"197","join us",5,0.000473036896877956
"198","just dont",5,0.000473036896877956
"199","just go",5,0.000473036896877956
"200","keep going",5,0.000473036896877956
"201","know people",5,0.000473036896877956
"202","la la",5,0.000473036896877956
"203","last fall",5,0.000473036896877956
"204","last weeks",5,0.000473036896877956
"205","law gravity",5,0.000473036896877956
"206","leave comment",5,0.000473036896877956
"207","let go",5,0.000473036896877956
"208","let us",5,0.000473036896877956
"209","lets go",5,0.000473036896877956
"210","look good",5,0.000473036896877956
"211","looking back",5,0.000473036896877956
"212","months ago",5,0.000473036896877956
"213","much better",5,0.000473036896877956
"214","need get",5,0.000473036896877956
"215","need make",5,0.000473036896877956
"216","next time",5,0.000473036896877956
"217","now get",5,0.000473036896877956
"218","now im",5,0.000473036896877956
"219","one can",5,0.000473036896877956
"220","one will",5,0.000473036896877956
"221","past years",5,0.000473036896877956
"222","people want",5,0.000473036896877956
"223","r u",5,0.000473036896877956
"224","said state",5,0.000473036896877956
"225","said statement",5,0.000473036896877956
"226","san diego",5,0.000473036896877956
"227","school district",5,0.000473036896877956
"228","seems like",5,0.000473036896877956
"229","set aside",5,0.000473036896877956
"230","since last",5,0.000473036896877956
"231","social media",5,0.000473036896877956
"232","something else",5,0.000473036896877956
"233","something new",5,0.000473036896877956
"234","sounded like",5,0.000473036896877956
"235","southern district",5,0.000473036896877956
"236","state park",5,0.000473036896877956
"237","supreme court",5,0.000473036896877956
"238","things like",5,0.000473036896877956
"239","time long",5,0.000473036896877956
"240","two men",5,0.000473036896877956
"241","want get",5,0.000473036896877956
"242","want see",5,0.000473036896877956
"243","weeks ago",5,0.000473036896877956
"244","whole thing",5,0.000473036896877956
"245","will change",5,0.000473036896877956
"246","will come",5,0.000473036896877956
"247","will end",5,0.000473036896877956
"248","will probably",5,0.000473036896877956
"249","will receive",5,0.000473036896877956
"250","will work",5,0.000473036896877956
"251","work will",5,0.000473036896877956
"252","youre welcome",5,0.000473036896877956
"253","’d like",4,0.000378429517502365
"254","’s one",4,0.000378429517502365
"255","’ve always",4,0.000378429517502365
"256","’ve ever",4,0.000378429517502365
"257","“ think",4,0.000378429517502365
"258","able get",4,0.000378429517502365
"259","also called",4,0.000378429517502365
"260","always loved",4,0.000378429517502365
"261","always wanted",4,0.000378429517502365
"262","amazon eu",4,0.000378429517502365
"263","amazon services",4,0.000378429517502365
"264","amount money",4,0.000378429517502365
"265","amount time",4,0.000378429517502365
