"","terms","count","probability"
"1","said",624,0.00749279538904899
"2","will",562,0.00674831892411143
"3","one",540,0.00648414985590778
"4","just",457,0.00548751200768492
"5","like",428,0.00513928914505283
"6","can",395,0.00474303554274736
"7","get",366,0.00439481268011527
"8","time",352,0.00422670509125841
"9","new",291,0.00349423631123919
"10","now",271,0.00325408261287224
"11","first",263,0.00315802113352546
"12","people",263,0.00315802113352546
"13","also",255,0.00306195965417867
"14","good",249,0.00298991354466859
"15","know",249,0.00298991354466859
"16","well",247,0.00296589817483189
"17","day",240,0.00288184438040346
"18","back",228,0.00273775216138329
"19","last",227,0.00272574447646494
"20","think",220,0.0026416906820365
"21","going",216,0.00259365994236311
"22","even",209,0.00250960614793468
"23","make",206,0.00247358309317964
"24","see",206,0.00247358309317964
"25","year",206,0.00247358309317964
"26","much",201,0.0024135446685879
"27","two",200,0.00240153698366955
"28","love",199,0.0023895292987512
"29","way",194,0.00232949087415946
"30","still",187,0.00224543707973103
"31","dont",183,0.00219740634005764
"32","want",183,0.00219740634005764
"33","work",181,0.00217339097022094
"34","great",178,0.0021373679154659
"35","right",173,0.00207732949087416
"36","made",169,0.00202929875120077
"37","need",164,0.00196926032660903
"38","years",162,0.00194524495677233
"39","got",158,0.00189721421709894
"40","life",154,0.00184918347742555
"41","many",146,0.00175312199807877
"42","come",143,0.00171709894332373
"43","really",143,0.00171709894332373
"44","around",141,0.00169308357348703
"45","little",141,0.00169308357348703
"46","things",140,0.00168107588856868
"47","home",139,0.00166906820365034
"48","say",138,0.00165706051873199
"49","best",134,0.0016090297790586
"50","state",132,0.0015850144092219
"51","may",131,0.00157300672430355
"52","today",130,0.00156099903938521
"53","next",127,0.00152497598463016
"54","school",124,0.00148895292987512
"55","always",123,0.00147694524495677
"56","take",123,0.00147694524495677
"57","every",119,0.00142891450528338
"58","game",119,0.00142891450528338
"59","find",116,0.00139289145052834
"60","never",114,0.00136887608069164
"61","big",113,0.0013568683957733
"62","long",112,0.00134486071085495
"63","week",112,0.00134486071085495
"64","since",110,0.00132084534101825
"65","thing",109,0.0013088376560999
"66","world",109,0.0013088376560999
"67","better",108,0.00129682997118156
"68","thats",108,0.00129682997118156
"69","lot",107,0.00128482228626321
"70","didnt",105,0.00126080691642651
"71","look",105,0.00126080691642651
"72","something",105,0.00126080691642651
"73","city",104,0.00124879923150817
"74","cant",103,0.00123679154658982
"75","place",102,0.00122478386167147
"76","three",102,0.00122478386167147
"77","night",99,0.00118876080691643
"78","put",99,0.00118876080691643
"79","another",98,0.00117675312199808
"80","feel",98,0.00117675312199808
"81","keep",97,0.00116474543707973
"82","show",97,0.00116474543707973
"83","part",95,0.00114073006724304
"84","man",94,0.00112872238232469
"85","might",94,0.00112872238232469
"86","use",93,0.00111671469740634
"87","end",89,0.00106868395773295
"88","thanks",89,0.00106868395773295
"89","help",88,0.0010566762728146
"90","says",88,0.0010566762728146
"91","thought",87,0.00104466858789625
"92","money",86,0.00103266090297791
"93","old",86,0.00103266090297791
"94","season",86,0.00103266090297791
"95","family",83,0.000996637848222863
"96","county",82,0.000984630163304515
"97","give",82,0.000984630163304515
"98","happy",82,0.000984630163304515
"99","house",82,0.000984630163304515
"100","team",82,0.000984630163304515
"101","used",82,0.000984630163304515
"102","don’t",81,0.000972622478386167
"103","looking",81,0.000972622478386167
"104","must",81,0.000972622478386167
"105","change",80,0.000960614793467819
"106","days",80,0.000960614793467819
"107","left",80,0.000960614793467819
"108","point",80,0.000960614793467819
"109","though",80,0.000960614793467819
"110","ever",79,0.000948607108549472
"111","book",78,0.000936599423631124
"112","already",77,0.000924591738712776
"113","getting",77,0.000924591738712776
"114","million",77,0.000924591738712776
"115","post",77,0.000924591738712776
"116","sure",77,0.000924591738712776
"117","told",77,0.000924591738712776
"118","away",76,0.000912584053794428
"119","play",76,0.000912584053794428
"120","without",76,0.000912584053794428
"121","enough",75,0.000900576368876081
"122","high",75,0.000900576368876081
"123","let",75,0.000900576368876081
"124","called",74,0.000888568683957733
"125","start",74,0.000888568683957733
"126","trying",74,0.000888568683957733
"127","district",72,0.000864553314121037
"128","found",72,0.000864553314121037
"129","times",72,0.000864553314121037
"130","real",71,0.00085254562920269
"131","able",69,0.000828530259365994
"132","public",69,0.000828530259365994
"133","went",69,0.000828530259365994
"134","making",68,0.000816522574447647
"135","story",68,0.000816522574447647
"136","took",68,0.000816522574447647
"137","youre",68,0.000816522574447647
"138","percent",67,0.000804514889529299
"139","run",67,0.000804514889529299
"140","yet",67,0.000804514889529299
"141","done",66,0.000792507204610951
"142","hope",66,0.000792507204610951
"143","read",66,0.000792507204610951
"144","someone",66,0.000792507204610951
"145","call",65,0.000780499519692603
"146","job",65,0.000780499519692603
"147","stop",65,0.000780499519692603
"148","blog",64,0.000768491834774256
"149","least",64,0.000768491834774256
"150","set",64,0.000768491834774256
"151","far",63,0.000756484149855908
"152","police",63,0.000756484149855908
"153","second",63,0.000756484149855908
"154","actually",62,0.00074447646493756
"155","different",62,0.00074447646493756
"156","four",62,0.00074447646493756
"157","god",62,0.00074447646493756
"158","ill",61,0.000732468780019212
"159","nothing",61,0.000732468780019212
"160","full",60,0.000720461095100865
"161","according",59,0.000708453410182517
"162","came",59,0.000708453410182517
"163","group",59,0.000708453410182517
"164","hard",59,0.000708453410182517
"165","however",59,0.000708453410182517
"166","morning",59,0.000708453410182517
"167","started",59,0.000708453410182517
"168","wanted",59,0.000708453410182517
"169","water",59,0.000708453410182517
"170","games",58,0.000696445725264169
"171","power",58,0.000696445725264169
"172","white",58,0.000696445725264169
"173","working",58,0.000696445725264169
"174","free",57,0.000684438040345821
"175","name",57,0.000684438040345821
"176","together",57,0.000684438040345821
"177","try",57,0.000684438040345821
"178","anything",56,0.000672430355427474
